Class	All	D	H	I	All
Bacteroidia	14.6	17.6	18.4	16.1	33.2
Clostridia	2.08	5.88	0	0	10.6
Fusobacteriia	25	29.4	22.4	23.2	8.9
Negativicutes	8.33	7.84	8.16	5.36	7.6
Actinobacteria	2.08	1.96	2.04	1.79	7.0
Gammaproteobacteria	16.7	9.8	16.3	19.6	6.6
Spirochaetia	0	0	0	0	5.5
Betaproteobacteria	14.6	9.8	14.3	21.4	4.7
Bacilli	16.7	11.8	18.4	12.5	4.4
Flavobacteriia	0	3.92	0	0	3.8
Unassigned	0	0	0	0	3.1
Campylobacteria	0	1.96	0	0	1.1
Coriobacteriia	0	0	0	0	1.0
Synergistia	0	0	0	0	0.6
Alphaproteobacteria	0	0	0	0	0.6
Mollicutes	0	0	0	0	0.3
Erysipelotrichia	0	0	0	0	0.3
Saprospiria	0	0	0	0	0.2
Sphingobacteriia	0	0	0	0	0.1
Cytophagia	0	0	0	0	0.1
Chitinophagia	0	0	0	0	0.1
Hydrogenophilalia	0	0	0	0	0.1
Deltaproteobacteria	0	0	0	0	0.1
